canonical_smiles,standard_value,pIC50
[Na+].CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1,7.5,8.12
O=C1C[C@H](O)C[C@@H](/C=C/c2cnc3c(Sc4ccc(F)cc4)c(Sc4ccc(F)cc4)c(F)cc3c2Sc2ccc(F)cc2)O1,11940.0,4.92
CC(C)c1ccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)cnc3cc(Cl)c(F)cc23)cc1,22100.0,4.66
COC1C[C@@H](C[C@@H](CCn2c(C(C)C)c(C(=O)Nc3ccccc3)c(c2-c2ccc(F)cc2)-c2ccccc2)O1)OC(=O)c1cccnc1,1.0,9.0
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccccc1F)-c1ccc(F)cc1,8.7,8.06
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCC=C,760.0,6.12
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(O)=O)C12,1.0,9.0
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCN(C)CC1,2.7,8.57
Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)[n+]1[O-].[Na+],9.4,8.03
Cc1ccccc1-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,370.0,6.43
O=C1C[C@H](O)CC(CC[C@@H]2CC[C@H]3CCCC[C@@H]3C2)O1,90000.0,4.05
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC(CC[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,1000.0,6.0
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccncc1,3700.0,5.43
CC(C)c1nc(N(C)c2ccon2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],7.0,8.15
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,3.6,8.44
O=C1C[C@H](O)C[C@@H](/C=C/c2cnc3cc(Sc4ccccc4)c(F)cc3c2Sc2ccccc2)O1,4410.0,5.36
CCCCCCCCc1c(-c2ccccc2)sc(C(C)C)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],10000.0,5.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,30.0,7.52
CC(C)c1cc(Sc2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O,6.0,8.22
CC(C)c1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1,3.0,8.52
Cc1ccccc1CNC(=O)c1nc(-c2ccc(F)cc2)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1C1CC1.[Na+],4.9,8.31
CC(C)c1c(S(=O)(=O)Nc2ccccc2)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2.0,8.7
Cc1cc(OCc2ccccc2)cc(C)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,620.0,6.21
C[C@@H]1C[C@H](OCc2ccc(Cl)cc2)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1,170.0,6.77
O=C1C[C@H](O)C[C@@H](/C=C/c2cnc3cc(Sc4ccc(F)cc4)c(F)cc3c2Sc2ccc(F)cc2)O1,38930.0,4.41
C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OC(=O)Cc2ccccc2)C1,19.0,7.72
CC(C)c1nc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1,3.0,8.52
COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1cccc(Cl)c1)-c1ccc(F)cc1)C(C)C,71.0,7.15
CC(C)c1c(C(=O)N(C)Cc2cccc(C(F)(F)F)c2)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,31.0,7.51
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC(=O)[O-])[C@]21C.[Na+],5.0,8.3
CC(C)c1cc(C(C)C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccc(F)cc1,2.7,8.57
