canonical_smiles,standard_units,standard_value
Cc1cc(OCc2ccccc2)cc(C)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,620.0
O=C1C[C@H](O)C[C@@H](CCc2c(Cl)cc(Cl)cc2COc2ccccc2)O1,nM,390.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2c(F)c(F)c(F)c(F)c2F)O1,nM,700.0
Cc1ccc(-c2ccc(O)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,2600.0
Cc1ccc(-c2cccc3ccccc23)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1800.0
O=C1C[C@H](O)C[C@@H](CCn2c(-c3ccc(F)cc3)ccc2C2CCCCC2)O1,nM,100000.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2Oc2ccccc2)O1,nM,330.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cc[n+]([O-])cc2)O1,nM,117000.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2OCc2ccc(C(F)(F)F)cc2)O1,nM,13000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccccc2)O1,nM,284000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccnc2)O1,nM,3400.0
O=C1C[C@H](O)C[C@@H](CCc2c(Cl)cc(Cl)cc2OCc2ccc(F)cc2)O1,nM,76.0
Cc1ccc(-c2cccc(O)c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1900.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCCc2ccccc2)O1,nM,480.0
Cc1ccc(C2CC3CCC2CC3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,2300.0
CC(C)(C)c1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1600.0
O=C1C[C@H](O)C[C@@H](/C=C/c2cccc(Cl)c2Cl)O1,nM,64400.0
O=C1C[C@H](O)C[C@@H](CCCc2c(Cl)cc(Cl)cc2COc2ccc(F)cc2)O1,nM,170.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OC/C=C/c2ccccc2)O1,nM,1900.0
O=C1C[C@H](O)C[C@@H](CCn2c(-c3ccc(F)cc3)ccc2C2CC2)O1,nM,2200.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccncc2)O1,nM,3700.0
Cc1ccc(-c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1400.0
C=CCOc1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,760.0
